scenario_id,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,actions,actions_used,tau_s,epsilon,rep,method,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,avg_cost,violation_rate,violations_first_100,violations_last_100,violations_after_switch,after_switch_k,violations_first_after_switch_k,safe_set_empty_rate,safe_set_size_mean,filter_margin,filter_prior_weight,filter_reset_on_switch,distinct_actions_pulled,regret_vs_oracle,pull_100,pull_500,pull_1000,pull_2000
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,7,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1091.9824516318479,0.05,8.0,9.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,7,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3353.984871587183,0.007,1.0,2.0,,50,,0.023,0.977,0.0,1.0,0,1,2262002.419955335,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,8,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3374.1533156302958,0.004,2.0,1.0,,50,,0.041123370110330994,0.958876629889669,,,,3,2279093.30895713,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,8,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1097.4524040585043,0.058,8.0,7.0,,50,,,,,,,3,2392.397385338787,1,1,998,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,8,ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1078.6891705307119,0.411,33.0,39.0,,50,,,,,,,4,-16370.83614245383,1,1,1,997
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,8,fixed_ccs,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.0600066731656,0.058,8.0,7.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,8,oracle,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1095.0600066731656,0.058,8.0,7.0,,50,,,,,,,1,0.0,0,0,1000,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,E1_scan90_stress_v5,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,8,filter_ucb_online_w1_m0_r0,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3382.2971197760726,0.004,2.0,1.0,,50,,0.041,0.959,0.0,1.0,0,1,2287237.113102907,1000,0,0,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000,2000",1.0,0.1,9,safe_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,3334.711684838358,0.007,0.0,1.0,,50,,0.024072216649949848,0.9759277833500501,,,,3,2244643.0194218354,998,1,1,0
E1_actions_100_500_1000_2000_cold,E1_scan90_stress_v5,,,,,"100,500,1000,2000","100,500,1000",1.0,0.1,9,filter_ucb,per_60s,mJ_per_60s,wilson,0.05,safe_seed,1093.859494862428,0.055,11.0,6.0,,50,,,,,,,3,3790.829445905518,1,1,998,0
