ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D3_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=F4-00-500
95816,ADV,-62,965,F4-06-500,e0:5a:1b:15:b2:ee,965_F4-06-500,RX_UCCS_D3_SCAN70_v1
96833,ADV,-62,975,F4-06-500,e0:5a:1b:15:b2:ee,975_F4-06-500,RX_UCCS_D3_SCAN70_v1
97841,ADV,-62,985,F4-06-500,e0:5a:1b:15:b2:ee,985_F4-06-500,RX_UCCS_D3_SCAN70_v1
99385,ADV,-36,1000,F4-06-500,e0:5a:1b:15:b2:ee,1000_F4-06-500,RX_UCCS_D3_SCAN70_v1
100371,ADV,-36,1010,F4-06-500,e0:5a:1b:15:b2:ee,1010_F4-06-500,RX_UCCS_D3_SCAN70_v1
100869,ADV,-35,1015,F4-06-500,e0:5a:1b:15:b2:ee,1015_F4-06-500,RX_UCCS_D3_SCAN70_v1
102384,ADV,-34,1030,F4-06-500,e0:5a:1b:15:b2:ee,1030_F4-06-500,RX_UCCS_D3_SCAN70_v1
103399,ADV,-34,1040,F4-05-500,e0:5a:1b:15:b2:ee,1040_F4-05-500,RX_UCCS_D3_SCAN70_v1
105426,ADV,-61,1060,F4-09-500,e0:5a:1b:15:b2:ee,1060_F4-09-500,RX_UCCS_D3_SCAN70_v1
106429,ADV,-62,1070,F4-09-500,e0:5a:1b:15:b2:ee,1070_F4-09-500,RX_UCCS_D3_SCAN70_v1
108958,ADV,-36,1095,F4-02-500,e0:5a:1b:15:b2:ee,1095_F4-02-500,RX_UCCS_D3_SCAN70_v1
109968,ADV,-36,1105,F4-02-500,e0:5a:1b:15:b2:ee,1105_F4-02-500,RX_UCCS_D3_SCAN70_v1
111492,ADV,-34,1120,F4-02-500,e0:5a:1b:15:b2:ee,1120_F4-02-500,RX_UCCS_D3_SCAN70_v1
112507,ADV,-34,1130,F4-04-500,e0:5a:1b:15:b2:ee,1130_F4-04-500,RX_UCCS_D3_SCAN70_v1
114546,ADV,-61,1150,F4-04-500,e0:5a:1b:15:b2:ee,1150_F4-04-500,RX_UCCS_D3_SCAN70_v1
115046,ADV,-62,1155,F4-04-500,e0:5a:1b:15:b2:ee,1155_F4-04-500,RX_UCCS_D3_SCAN70_v1
116074,ADV,-62,1165,F4-04-500,e0:5a:1b:15:b2:ee,1165_F4-04-500,RX_UCCS_D3_SCAN70_v1
117575,ADV,-36,1180,F4-04-500,e0:5a:1b:15:b2:ee,1180_F4-04-500,RX_UCCS_D3_SCAN70_v1
