ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=1, cond_id_raw=1, tag=s4_fixed100, subject=uccs_d4b_scan70
140231,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140241,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
140251,4784,182200,871.6,TXSD_UCCS_D4B_SCAN70_v1
140261,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
140271,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
140281,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140291,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140301,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140311,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
140321,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140331,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140341,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140351,4776,141300,674.8,TXSD_UCCS_D4B_SCAN70_v1
140361,4640,131400,609.7,TXSD_UCCS_D4B_SCAN70_v1
140371,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140381,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140391,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140401,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140411,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
140421,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140431,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
140441,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140451,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140461,4784,211500,1011.8,TXSD_UCCS_D4B_SCAN70_v1
140471,4932,56700,279.6,TXSD_UCCS_D4B_SCAN70_v1
140481,4928,55900,275.5,TXSD_UCCS_D4B_SCAN70_v1
140491,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140501,4924,55900,275.3,TXSD_UCCS_D4B_SCAN70_v1
140511,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140521,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140531,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140541,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
140551,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140561,4780,140200,670.2,TXSD_UCCS_D4B_SCAN70_v1
140571,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140581,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140591,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140601,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140611,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
140621,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
140631,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140641,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140651,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
140661,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
140671,4744,177800,843.5,TXSD_UCCS_D4B_SCAN70_v1
140681,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140691,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
140701,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140711,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
140721,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
140731,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
140741,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
140751,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
