ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
55370,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55380,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55390,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55400,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55410,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55420,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
55430,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55440,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55450,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55460,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55470,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55480,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
55490,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55500,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55510,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
55520,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55530,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55540,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
55550,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55560,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
55570,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
55580,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55590,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
55600,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55610,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55620,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
55630,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
55640,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
