prog_id,ms,mV,uA,p_mW
# meta, firmware=TXSD_DeltaE_V3_OFF, program_id=TXSD_DELTAE_V3_OFF_20260114, trial_index=auto, adv_interval_ms=0
TXSD_DELTAE_V3_OFF_20260114,2991,3160,51300,162.1
TXSD_DELTAE_V3_OFF_20260114,3001,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,3011,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,3021,3160,51400,162.4
TXSD_DELTAE_V3_OFF_20260114,3031,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,3041,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3051,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3061,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3071,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3081,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3091,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3101,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3111,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3121,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3131,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3141,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3151,3160,51700,163.4
TXSD_DELTAE_V3_OFF_20260114,3161,3156,51600,162.8
TXSD_DELTAE_V3_OFF_20260114,3171,3156,51400,162.2
TXSD_DELTAE_V3_OFF_20260114,3181,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,3191,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3201,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3211,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3221,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3231,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3241,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3251,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3261,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3271,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3281,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3291,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3301,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,3311,3156,51700,163.2
TXSD_DELTAE_V3_OFF_20260114,3321,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3331,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3341,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3351,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3361,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3371,3160,52200,165.0
TXSD_DELTAE_V3_OFF_20260114,3381,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3391,3164,52200,165.2
TXSD_DELTAE_V3_OFF_20260114,3401,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3411,3160,51900,164.0
TXSD_DELTAE_V3_OFF_20260114,3421,3156,51200,161.6
TXSD_DELTAE_V3_OFF_20260114,3431,3160,51800,163.7
TXSD_DELTAE_V3_OFF_20260114,3441,3156,51500,162.5
TXSD_DELTAE_V3_OFF_20260114,3451,3160,51500,162.7
TXSD_DELTAE_V3_OFF_20260114,3461,3156,51800,163.5
TXSD_DELTAE_V3_OFF_20260114,3471,3156,51300,161.9
TXSD_DELTAE_V3_OFF_20260114,3481,3160,52000,164.3
TXSD_DELTAE_V3_OFF_20260114,3491,3156,51100,161.3
TXSD_DELTAE_V3_OFF_20260114,3501,3160,52100,164.6
TXSD_DELTAE_V3_OFF_20260114,3511,3156,51000,161.0
TXSD_DELTAE_V3_OFF_20260114,3521,3160,52200,165.0
