ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
490808,ADV,-50,89,0,e0:5a:1b:15:c4:ca,0089_0
491014,ADV,-55,89,0,e0:5a:1b:15:c4:ca,0089_0
491231,ADV,-58,90,0,e0:5a:1b:15:c4:ca,0090_0
491331,ADV,-55,90,0,e0:5a:1b:15:c4:ca,0090_0
491541,ADV,-59,90,0,e0:5a:1b:15:c4:ca,0090_0
491763,ADV,-54,91,1,e0:5a:1b:15:c4:ca,0091_1
491960,ADV,-58,91,1,e0:5a:1b:15:c4:ca,0091_1
492271,ADV,-59,92,2,e0:5a:1b:15:c4:ca,0092_2
492375,ADV,-52,92,2,e0:5a:1b:15:c4:ca,0092_2
492582,ADV,-59,92,2,e0:5a:1b:15:c4:ca,0092_2
492788,ADV,-49,93,0,e0:5a:1b:15:c4:ca,0093_0
492998,ADV,-59,93,0,e0:5a:1b:15:c4:ca,0093_0
493312,ADV,-59,94,1,e0:5a:1b:15:c4:ca,0094_1
493523,ADV,-49,94,1,e0:5a:1b:15:c4:ca,0094_1
493627,ADV,-59,95,2,e0:5a:1b:15:c4:ca,0095_2
493840,ADV,-49,95,2,e0:5a:1b:15:c4:ca,0095_2
494039,ADV,-51,95,2,e0:5a:1b:15:c4:ca,0095_2
494144,ADV,-51,96,0,e0:5a:1b:15:c4:ca,0096_0
494365,ADV,-58,96,0,e0:5a:1b:15:c4:ca,0096_0
494570,ADV,-49,96,0,e0:5a:1b:15:c4:ca,0096_0
494771,ADV,-51,97,1,e0:5a:1b:15:c4:ca,0097_1
494991,ADV,-58,97,1,e0:5a:1b:15:c4:ca,0097_1
495189,ADV,-49,98,2,e0:5a:1b:15:c4:ca,0098_2
495295,ADV,-49,98,2,e0:5a:1b:15:c4:ca,0098_2
495499,ADV,-51,98,2,e0:5a:1b:15:c4:ca,0098_2
495710,ADV,-59,99,0,e0:5a:1b:15:c4:ca,0099_0
495828,ADV,-51,99,0,e0:5a:1b:15:c4:ca,0099_0
496020,ADV,-59,99,0,e0:5a:1b:15:c4:ca,0099_0
496227,ADV,-49,100,0,e0:5a:1b:15:c4:ca,0100_0
496341,ADV,-58,100,0,e0:5a:1b:15:c4:ca,0100_0
496549,ADV,-51,100,0,e0:5a:1b:15:c4:ca,0100_0
496645,ADV,-49,101,1,e0:5a:1b:15:c4:ca,0101_1
496853,ADV,-51,101,1,e0:5a:1b:15:c4:ca,0101_1
497065,ADV,-58,101,1,e0:5a:1b:15:c4:ca,0101_1
497171,ADV,-54,102,2,e0:5a:1b:15:c4:ca,0102_2
497382,ADV,-63,102,2,e0:5a:1b:15:c4:ca,0102_2
497597,ADV,-51,102,2,e0:5a:1b:15:c4:ca,0102_2
497828,ADV,-60,103,0,e0:5a:1b:15:c4:ca,0103_0
498010,ADV,-49,103,0,e0:5a:1b:15:c4:ca,0103_0
498226,ADV,-52,104,1,e0:5a:1b:15:c4:ca,0104_1
498431,ADV,-59,104,1,e0:5a:1b:15:c4:ca,0104_1
