scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,avg_energy_uJ_event,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,fixed_ccs,17990.24129382116,0.11,9.0,5307256.201903783
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,32,oracle,12682.985091917377,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,safe_ucb,12775.776925491658,0.001,1.0,27533.115767776966
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,ucb,12775.776925491658,0.001,1.0,27533.115767776966
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,fixed_ccs,18065.318127691808,0.106,10.0,5317074.317967927
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,33,oracle,12748.243809723883,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,safe_ucb,12597.0721219797,0.001,1.0,27840.74395544082
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,ucb,12597.0721219797,0.001,1.0,27840.74395544082
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,fixed_ccs,17859.37343482572,0.108,6.0,5290142.056801463
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,34,oracle,12569.23137802426,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,safe_ucb,12632.115917583938,0.0,0.0,27743.726898578927
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,ucb,12632.115917583938,0.0,0.0,27743.726898578927
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,fixed_ccs,17899.801151503514,0.127,11.0,5295428.960818155
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,35,oracle,12604.372190685359,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,safe_ucb,12682.313553833385,0.001,1.0,27305.676295159385
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,ucb,12682.313553833385,0.001,1.0,27305.676295159385
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,fixed_ccs,17958.054932416795,0.127,15.0,5303047.054878572
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,36,oracle,12655.007877538224,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,safe_ucb,12701.358115821235,0.001,1.0,27477.64519220218
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,ucb,12701.358115821235,0.001,1.0,27477.64519220218
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,fixed_ccs,17979.766890356063,0.114,13.0,5305886.419727031
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,37,oracle,12673.880470629032,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,38,safe_ucb,12650.119467582692,0.001,1.0,27075.302377432585
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,38,ucb,12650.119467582692,0.001,1.0,27075.302377432585
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,38,fixed_ccs,17921.282307986294,0.121,13.0,5298238.142781034
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,38,oracle,12623.04416520526,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,39,safe_ucb,12553.718208022196,0.0,0.0,27942.059916161
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,39,ucb,12553.718208022196,0.0,0.0,27942.059916161
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,39,fixed_ccs,17809.38040420787,0.118,10.0,5283604.2561018355
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,39,oracle,12525.776148106035,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,40,safe_ucb,12681.030299467084,0.0,0.0,27052.389118459076
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,40,ucb,12681.030299467084,0.0,0.0,27052.389118459076
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,40,fixed_ccs,17956.870007579386,0.13,12.0,5302892.097230762
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,40,oracle,12653.977910348623,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,41,safe_ucb,12587.159862700288,0.001,1.0,27305.641635114327
