rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_016.csv,P,963,4,6,0.182,0,965,-213.0
rx_trial_016.csv,P,1035,6,5,0.179,0,1037,-213.0
rx_trial_016.csv,P,1055,5,9,0.098,0,1056,-213.0
rx_trial_016.csv,P,1087,9,2,0.238,0,1089,-213.0
rx_trial_016.csv,P,1128,2,9,9.67,1,1225,-213.0
rx_trial_016.csv,P,1130,9,4,0.276,0,1133,-213.0
rx_trial_016.csv,P,1224,4,9,0.07,0,1225,-213.0
rx_trial_016.csv,P,1282,9,0,0.072,0,1283,-213.0
rx_trial_016.csv,P,1299,0,9,0.159,0,1301,-213.0
rx_trial_016.csv,P,1404,9,7,0.177,0,1406,-213.0
rx_trial_016.csv,P,1410,7,2,0.1,0,1411,-213.0
rx_trial_016.csv,P,1414,2,8,0.013,0,1414,-213.0
rx_trial_016.csv,P,1458,8,6,0.354,0,1462,-213.0
rx_trial_016.csv,P,1523,6,11,0.175,0,1525,-213.0
rx_trial_016.csv,P,1581,11,5,0.068,0,1582,-213.0
rx_trial_016.csv,P,1603,5,1,0.168,0,1605,-213.0
rx_trial_016.csv,P,1614,1,2,0.018,0,1614,-213.0
rx_trial_016.csv,P,1627,2,8,0.194,0,1629,-213.0
rx_trial_016.csv,P,1678,8,1,0.287,0,1681,-213.0
rx_trial_016.csv,P,1697,1,2,0.048,0,1697,-213.0
rx_trial_016.csv,P,1701,2,1,0.278,0,1704,-213.0
rx_trial_016.csv,P,1766,1,3,0.17,0,1768,-213.0
rx_trial_017.csv,U,13,1,0,0.248,0,15,-210.0
rx_trial_017.csv,U,88,0,6,0.001,0,88,-210.0
rx_trial_017.csv,U,91,6,7,0.092,0,92,-210.0
rx_trial_017.csv,U,97,7,11,0.11,0,98,-210.0
rx_trial_017.csv,U,120,11,10,0.235,0,122,-210.0
rx_trial_017.csv,U,245,10,6,0.175,0,247,-210.0
rx_trial_017.csv,U,338,6,7,0.173,0,340,-210.0
rx_trial_017.csv,U,362,7,11,0.181,0,364,-210.0
rx_trial_017.csv,U,376,11,4,0.241,0,378,-210.0
rx_trial_017.csv,U,429,4,10,0.183,0,431,-210.0
rx_trial_017.csv,U,605,10,3,0.021,0,605,-210.0
rx_trial_017.csv,U,615,3,7,0.133,0,616,-210.0
rx_trial_017.csv,U,642,7,3,0.051,0,642,-210.0
rx_trial_017.csv,U,680,3,9,0.237,0,682,-210.0
rx_trial_017.csv,U,714,9,8,0.07,0,715,-210.0
rx_trial_017.csv,U,724,8,7,0.012,0,724,-210.0
rx_trial_017.csv,U,775,7,0,0.176,0,777,-210.0
rx_trial_017.csv,U,796,0,7,0.163,0,798,-210.0
rx_trial_017.csv,U,858,7,4,0.18,0,860,-210.0
rx_trial_017.csv,U,963,4,6,0.273,0,966,-210.0
rx_trial_017.csv,U,1035,6,5,0.073,0,1036,-210.0
rx_trial_017.csv,U,1055,5,9,0.049,0,1055,-210.0
rx_trial_017.csv,U,1087,9,2,0.203,0,1089,-210.0
rx_trial_017.csv,U,1128,2,9,0.099,0,1129,-210.0
rx_trial_017.csv,U,1130,9,4,0.215,0,1132,-210.0
rx_trial_017.csv,U,1224,4,9,0.177,0,1226,-210.0
rx_trial_017.csv,U,1282,9,0,0.182,0,1284,-210.0
rx_trial_017.csv,U,1299,0,9,0.268,0,1302,-210.0
rx_trial_017.csv,U,1404,9,7,0.175,0,1406,-210.0
rx_trial_017.csv,U,1410,7,2,0.211,0,1412,-210.0
rx_trial_017.csv,U,1414,2,8,0.13,0,1415,-210.0
rx_trial_017.csv,U,1458,8,6,0.142,0,1459,-210.0
rx_trial_017.csv,U,1523,6,11,0.074,0,1524,-210.0
rx_trial_017.csv,U,1581,11,5,0.073,0,1582,-210.0
rx_trial_017.csv,U,1603,5,1,0.102,0,1604,-210.0
rx_trial_017.csv,U,1614,1,2,0.053,0,1614,-210.0
rx_trial_017.csv,U,1627,2,8,0.099,0,1628,-210.0
rx_trial_017.csv,U,1678,8,1,0.085,0,1679,-210.0
rx_trial_017.csv,U,1697,1,2,0.275,0,1700,-210.0
rx_trial_017.csv,U,1701,2,1,0.088,0,1702,-210.0
rx_trial_017.csv,U,1766,1,3,0.281,0,1769,-210.0
rx_trial_020.csv,P,13,1,0,0.024,0,13,-165.0
rx_trial_020.csv,P,88,0,6,0.008,0,88,-165.0
rx_trial_020.csv,P,91,6,7,0.205,0,93,-165.0
rx_trial_020.csv,P,97,7,11,0.227,0,99,-165.0
rx_trial_020.csv,P,120,11,10,0.163,0,122,-165.0
rx_trial_020.csv,P,245,10,6,0.172,0,247,-165.0
rx_trial_020.csv,P,338,6,7,0.068,0,339,-165.0
rx_trial_020.csv,P,362,7,11,0.171,0,364,-165.0
rx_trial_020.csv,P,376,11,4,0.026,0,376,-165.0
rx_trial_020.csv,P,429,4,10,0.177,0,431,-165.0
rx_trial_020.csv,P,605,10,3,0.182,0,607,-165.0
rx_trial_020.csv,P,615,3,7,0.113,0,616,-165.0
rx_trial_020.csv,P,642,7,3,0.147,0,643,-165.0
rx_trial_020.csv,P,680,3,9,0.038,0,680,-165.0
rx_trial_020.csv,P,714,9,8,0.008,0,714,-165.0
rx_trial_020.csv,P,724,8,7,0.28,0,727,-165.0
rx_trial_020.csv,P,775,7,0,0.275,0,778,-165.0
rx_trial_020.csv,P,796,0,7,0.058,0,797,-165.0
rx_trial_020.csv,P,858,7,4,0.074,0,859,-165.0
rx_trial_020.csv,P,963,4,6,0.069,0,964,-165.0
rx_trial_020.csv,P,1035,6,5,0.068,0,1036,-165.0
rx_trial_020.csv,P,1055,5,9,0.281,0,1058,-165.0
rx_trial_020.csv,P,1087,9,2,0.273,0,1090,-165.0
rx_trial_020.csv,P,1128,2,9,0.048,0,1128,-165.0
rx_trial_020.csv,P,1130,9,4,0.155,0,1132,-165.0
rx_trial_020.csv,P,1224,4,9,0.174,0,1226,-165.0
rx_trial_020.csv,P,1282,9,0,0.08,0,1283,-165.0
rx_trial_020.csv,P,1299,0,9,0.064,0,1300,-165.0
rx_trial_020.csv,P,1404,9,7,0.066,0,1405,-165.0
rx_trial_020.csv,P,1410,7,2,0.308,0,1413,-165.0
rx_trial_020.csv,P,1414,2,8,0.217,0,1416,-165.0
rx_trial_020.csv,P,1458,8,6,0.146,0,1459,-165.0
rx_trial_020.csv,P,1523,6,11,0.07,0,1524,-165.0
rx_trial_020.csv,P,1581,11,5,0.173,0,1583,-165.0
