ms,mv,uA,p_mW
5188,3304,76800,254,253.7
5198,3304,72"00,239,0.2
5208,3304,77#00,255,0.3
5218,3304,70&00,233,0.2
5228,3304,77#00,255,0.3
5238,3308,76'00,254,0.3
5248,3304,75%00,249,0.2
5258,3304,76'00,253,0.3
5268,3304,74$00,246,0.2
5278,3304,76'00,253,0.3
5288,3304,71#00,236,0.2
5298,3304,77$00,256,0.3
5308,3304,70!00,232,0.2
5318,3304,77#00,255,0.3
5328,3304,76'00,253,0.3
5338,3304,75 00,248,0.2
5348,3304,76'00,253,0.3
5358,3304,74$00,246,0.2
5368,3304,77 00,254,0.3
5378,3304,70900,234,234.3
5388,3304,77#00,255,0.3
5398,3304,76'00,253,0.3
5408,3304,76'00,253,0.3
5418,3300,76'00,253,0.3
5428,3304,74'00,247,0.2
5438,3304,76'00,253,0.3
5448,3304,74"00,245,0.2
5458,3304,77"00,255,0.3
5468,3304,70'00,234,0.2
5478,3304,77#00,255,0.3
5488,3304,76800,254,253.7
5498,3304,76$00,252,0.3
5508,3300,76800,253,253.4
5518,3304,74%00,246,0.2
5528,3304,76800,254,253.7
5538,3304,73$00,243,0.2
5548,3304,77#00,255,0.3
5558,3304,70&00,233,0.2
5568,3304,77#00,255,0.3
5578,3304,76'00,253,0.3
5588,3304,76"00,252,0.3
5598,3304,76800,254,253.7
5608,3304,74$00,246,0.2
5618,3304,76800,254,253.7
5628,3304,72$00,239,0.2
5638,3304,77#00,255,0.3
5648,3304,70%00,233,0.2
5658,3304,77$00,256,0.3
5668,3304,76800,254,253.7
5678,3304,75'00,250,0.2
5688,3304,76800,254,253.7
5698,3308,74$00,246,0.2
5708,3304,76'00,253,0.3
5718,3304,71$00,236,0.2
5728,3304,77#00,255,0.3
5738,3304,70"00,232,0.2
5748,3304,77$00,256,0.3
5758,3304,76'00,253,0.3
5768,3304,75!00,248,0.2
5778,3304,76800,254,253.7
5788,3304,74$00,246,0.2
5798,3304,76800,254,253.7
5808,3304,71 00,235,0.2
5818,3304,77$00,256,0.3
5828,3304,76'00,253,0.3
5838,3304,77 00,254,0.3
5848,3304,76'00,253,0.3
5858,3304,74800,247,247.1
5868,3304,76800,254,253.7
5878,3304,74$00,246,0.2
5888,3304,77"00,255,0.3
5898,3304,70'00,234,0.2
5908,3304,77#00,255,0.3
5918,3304,76800,254,253.7
5928,3304,76%00,253,0.3
5938,3304,76800,254,253.7
5948,3304,74500,246,246.1
5958,3304,76800,254,253.7
5968,3304,73&00,243,0.2
5978,3304,77"00,255,0.3
5988,3304,70&00,233,0.2
