ms,voltage,current,power
3714,3.304,58.4,193.0
3720,3.296,58.7,195.0
3726,3.304,59.1,195.0
3729,3.304,58.1,192.0
3735,3.296,58.9,195.0
3741,3.300,59.9,198.0
3744,3.300,58.5,193.0
3749,3.296,58.8,195.0
3758,3.304,58.9,195.0
3767,3.304,59.6,197.0
3773,3.304,59.8,198.0
3782,3.304,59.7,197.0
3785,3.304,59.9,198.0
3788,3.304,59.9,198.0
3800,3.304,58.9,195.0
3806,3.296,58.4,193.0
3814,3.304,59.4,197.0
3826,3.304,59.2,195.0
3829,3.304,58.8,193.0
3835,3.296,58.5,193.0
3838,3.296,59.7,197.0
3841,3.304,58.9,195.0
3844,3.304,58.6,193.0
3874,3.304,58.7,193.0
3888,3.304,59.5,197.0
3897,3.304,59.9,198.0
3912,3.304,59.7,197.0
3915,3.304,59.3,197.0
3921,3.296,59.3,195.0
3927,3.304,59.2,195.0
3930,3.304,58.1,192.0
3936,3.296,58.6,193.0
3942,3.304,59.8,198.0
3945,3.304,58.4,193.0
3951,3.296,58.6,195.0
3956,3.304,59.7,197.0
3959,3.300,59.0,195.0
3965,3.296,59.2,197.0
3968,3.296,59.6,197.0
3974,3.304,59.2,195.0
3983,3.304,59.5,197.0
3989,3.304,59.5,197.0
4004,3.304,59.4,197.0
4007,3.296,59.9,198.0
4016,3.304,59.5,197.0
4021,3.296,58.5,193.0
4030,3.304,59.4,197.0
4036,3.296,58.2,192.0
4042,3.300,58.8,195.0
4045,3.304,59.1,195.0
4051,3.296,59.0,195.0
4057,3.304,59.1,195.0
4063,3.304,58.0,192.0
4075,3.304,58.4,193.0
4089,3.304,59.7,197.0
4113,3.304,59.5,197.0
4116,3.300,59.4,197.0
4122,3.296,59.5,197.0
4128,3.304,59.1,195.0
4131,3.304,58.1,192.0
4137,3.296,58.7,195.0
4143,3.304,59.1,195.0
4146,3.304,58.1,192.0
4152,3.296,58.7,197.0
4160,3.304,58.8,193.0
4166,3.296,59.3,197.0
4169,3.300,59.6,197.0
4175,3.304,59.0,195.0
4184,3.304,59.6,197.0
4196,3.296,62.2,205.0
4199,3.304,59.8,198.0
4202,3.304,59.3,197.0
4208,3.296,59.5,197.0
4217,3.304,59.2,195.0
4223,3.296,58.3,192.0
4228,3.304,59.9,198.0
4231,3.304,59.0,195.0
4243,3.304,59.3,195.0
4246,3.304,59.0,195.0
4252,3.296,59.1,195.0
4255,3.296,59.8,198.0
4258,3.304,59.7,197.0
4261,3.304,58.5,193.0
4276,3.304,59.2,195.0
4291,3.304,59.7,197.0
4308,3.296,59.4,195.0
4314,3.304,59.3,197.0
4317,3.304,59.2,195.0
4323,3.296,58.8,193.0
4329,3.304,58.6,193.0
4332,3.304,58.1,192.0
4338,3.296,59.2,195.0
4344,3.304,59.5,197.0
4361,3.304,58.6,193.0
4385,3.304,59.6,197.0
4400,3.304,59.6,197.0
4403,3.304,58.7,193.0
4409,3.296,58.8,195.0
4415,3.304,59.5,197.0
4418,3.300,58.4,193.0
4424,3.296,58.1,193.0
4429,3.304,59.6,197.0
4432,3.304,59.0,195.0
4438,3.296,58.4,193.0
4441,3.296,59.9,198.0
4444,3.304,59.8,198.0
4447,3.304,58.9,195.0
4453,3.296,59.5,197.0
4456,3.300,59.7,197.0
4462,3.304,58.8,195.0
4471,3.304,59.8,198.0
4477,3.304,59.2,195.0
4495,3.296,59.0,195.0
4503,3.304,59.8,198.0
4509,3.296,58.3,192.0
4515,3.304,59.2,195.0
4518,3.304,59.1,195.0
4521,3.304,66.4,200.0
4524,3.296,58.6,193.0
4530,3.304,58.5,193.0
4533,3.304,58.3,193.0
4539,3.296,59.8,198.0
4545,3.304,59.7,197.0
4563,3.304,59.3,195.0
4577,3.304,59.8,198.0
4586,3.304,59.6,197.0
4601,3.304,59.6,197.0
4604,3.304,58.5,193.0
4610,3.296,58.8,193.0
4616,3.304,58.9,195.0
4619,3.304,58.2,192.0
4625,3.296,58.5,195.0
4631,3.304,59.8,198.0
4633,3.304,58.5,193.0
4639,3.296,58.5,193.0
4645,3.304,59.9,198.0
4648,3.304,58.6,193.0
4657,3.304,59.8,198.0
4663,3.304,59.0,195.0
4678,3.304,59.4,197.0
4696,3.296,58.9,193.0
4704,3.304,59.4,197.0
4710,3.296,58.3,192.0
4716,3.304,59.3,197.0
4719,3.304,58.7,193.0
4725,3.292,58.8,193.0
4728,3.296,59.8,198.0
4731,3.304,58.9,195.0
4734,3.304,58.5,193.0
4749,3.304,58.2,192.0
4764,3.304,59.0,195.0
4787,3.304,59.6,197.0
4796,3.296,59.4,197.0
4802,3.304,59.0,195.0
4805,3.304,58.3,193.0
4811,3.296,58.5,195.0
4817,3.304,58.7,193.0
4820,3.304,58.0,192.0
4826,3.296,59.2,195.0
4832,3.304,59.8,198.0
4835,3.304,58.4,193.0
4840,3.296,59.0,195.0
4846,3.304,60.7,200.0
4849,3.304,58.7,193.0
4858,3.304,59.6,197.0
4874,3.304,59.7,197.0
4879,3.304,59.4,197.0
4891,3.304,59.9,198.0
4894,3.304,59.6,197.0
4897,3.300,59.3,197.0
4911,3.296,58.7,193.0
4917,3.304,59.7,197.0
4920,3.304,59.1,195.0
4926,3.296,58.4,192.0
4932,3.304,58.6,193.0
4935,3.304,58.7,193.0
4941,3.296,59.4,197.0
4947,3.304,59.0,195.0
4965,3.304,58.7,193.0
4979,3.304,59.3,197.0
5003,3.304,59.6,197.0
5006,3.304,59.4,197.0
5012,3.296,59.1,195.0
5018,3.304,59.0,195.0
5021,3.304,58.3,192.0
5027,3.296,58.6,195.0
5033,3.304,59.6,197.0
5036,3.304,58.2,192.0
5042,3.292,58.4,193.0
5047,3.304,59.9,198.0
5050,3.304,58.9,195.0
5056,3.296,59.5,197.0
5059,3.296,59.6,197.0
5065,3.304,59.1,195.0
5074,3.304,59.6,197.0
5080,3.304,59.8,198.0
5092,3.304,59.8,198.0
5098,3.300,59.4,197.0
5107,3.304,58.8,195.0
5112,3.296,58.1,192.0
5118,3.304,59.8,198.0
5121,3.300,59.1,195.0
5127,3.292,58.2,192.0
5130,3.296,59.8,198.0
5133,3.304,59.0,195.0
5136,3.308,58.8,195.0
5142,3.296,59.5,195.0
5148,3.304,59.4,197.0
5151,3.304,58.1,192.0
5166,3.304,58.7,193.0
5172,3.296,61.8,205.0
5175,3.304,60.7,200.0
5180,3.304,59.7,197.0
5195,3.304,68.0,198.0
5198,3.296,59.7,195.0
5204,3.304,59.4,197.0
5207,3.304,59.5,197.0
5213,3.300,59.2,195.0
5219,3.304,58.6,193.0
5222,3.300,58.2,192.0
5228,3.296,59.2,197.0
5234,3.304,59.1,195.0
5237,3.300,58.0,192.0
5243,3.296,59.5,198.0
5251,3.304,58.7,193.0
5260,3.304,59.7,197.0
5266,3.304,59.8,198.0
5275,3.304,59.7,197.0
5290,3.304,59.9,198.0
5293,3.300,59.0,195.0
5299,3.296,58.9,195.0
