subject_id,alpha,W,n_windows,ccs_mean,ccs_std,s_mean,s_std,switches,switch_rate,share_100,share_500,share_2000
09_ccs,0.8,3,677,0.8846830920728705,0.15806227384781438,0.9950763170851799,0.0402117518249048,39,0.05760709010339734,0.2511078286558346,0.056129985228951254,0.6927621861152142
10_ccs,0.8,3,666,0.8500922922922923,0.15522436048315588,0.962962962962963,0.12772082408597862,71,0.1066066066066066,0.35135135135135137,0.11411411411411411,0.5345345345345346
01_ccs,0.8,5,694,0.8232268587896253,0.21404942099000374,0.9481268011527377,0.1326550250815729,78,0.11239193083573487,0.3314121037463977,0.13544668587896252,0.5331412103746398
02_ccs,0.8,5,704,0.8548648863636363,0.1685500597846117,0.9329545454545454,0.15464151426406914,65,0.09232954545454546,0.359375,0.07244318181818182,0.5681818181818182
03_ccs,0.8,5,698,0.889367793696275,0.1549699883432573,0.9690544412607449,0.10470025390587306,92,0.1318051575931232,0.20916905444126074,0.10601719197707736,0.6848137535816619
04_ccs,0.8,5,697,0.8660679483500717,0.18521551029825953,0.9736011477761836,0.0921157427936106,56,0.08034433285509325,0.28694404591104733,0.04591104734576758,0.667144906743185
05_ccs,0.8,5,669,0.9162634379671153,0.12988845974767863,0.9904334828101644,0.05039120931334515,50,0.07473841554559044,0.17488789237668162,0.08071748878923767,0.7443946188340808
06_ccs,0.8,5,634,0.8854464353312304,0.16340123718755153,0.9899053627760253,0.04921135646687697,19,0.02996845425867508,0.2586750788643533,0.02050473186119874,0.7208201892744479
07_ccs,0.8,5,670,0.8652973134328358,0.16398944792028625,0.9916417910447761,0.04427178660647739,57,0.08507462686567165,0.3044776119402985,0.08656716417910448,0.608955223880597
08_ccs,0.8,5,659,0.8612139605462822,0.2101595914473898,0.9441578148710166,0.1318998998945424,31,0.04704097116843703,0.2503793626707132,0.0409711684370258,0.708649468892261
09_ccs,0.8,5,677,0.8844861447562776,0.15803403915086303,0.9940915805022157,0.033864058802734645,39,0.05760709010339734,0.24372230428360414,0.06351550960118169,0.6927621861152142
10_ccs,0.8,5,666,0.8486108108108108,0.1557092996491876,0.9555555555555555,0.1388738730621637,72,0.10810810810810811,0.35585585585585583,0.11261261261261261,0.5315315315315315
01_ccs,0.8,7,694,0.8224858130918072,0.21320250338612537,0.9444215726636475,0.12751692032414874,76,0.10951008645533142,0.3227665706051873,0.15994236311239193,0.5172910662824207
02_ccs,0.8,7,704,0.8539070941558442,0.16857164508638814,0.9281655844155844,0.15715709039195624,65,0.09232954545454546,0.3622159090909091,0.06960227272727272,0.5681818181818182
03_ccs,0.8,7,698,0.8889257142857143,0.1539655419866552,0.9668440442079411,0.09946955185898165,91,0.1303724928366762,0.2134670487106017,0.11031518624641834,0.6762177650429799
04_ccs,0.8,7,697,0.8656908218897316,0.1843375429291298,0.9717155154744824,0.08635362908552002,55,0.07890961262553801,0.28694404591104733,0.04591104734576758,0.667144906743185
05_ccs,0.8,7,669,0.9161267734358317,0.12961871568341143,0.9897501601537475,0.044376943709126385,47,0.07025411061285501,0.17787742899850523,0.07473841554559044,0.7473841554559043
06_ccs,0.8,7,634,0.8853022262280308,0.1630103123502282,0.989184317260027,0.04408118705953124,19,0.02996845425867508,0.2586750788643533,0.02050473186119874,0.7208201892744479
07_ccs,0.8,7,670,0.8651779104477613,0.16363711648383436,0.991044776119403,0.038777843083357744,57,0.08507462686567165,0.30597014925373134,0.08507462686567165,0.608955223880597
08_ccs,0.8,7,659,0.8604162150444397,0.20990814064365423,0.9401690873618036,0.12523016829313274,27,0.0409711684370258,0.2564491654021244,0.036418816388467376,0.7071320182094082
09_ccs,0.8,7,677,0.8844017387634524,0.15799820426638875,0.9936695505380881,0.029398560045356584,37,0.05465288035450517,0.25406203840472674,0.053175775480059084,0.6927621861152142
10_ccs,0.8,7,666,0.8479758901758901,0.15601746702764901,0.9523809523809524,0.14285714285714282,70,0.10510510510510511,0.36186186186186187,0.10810810810810811,0.53003003003003
