ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=2, tag=s4_fixed500, subject=uccs_d3_scan70
59541,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59551,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59561,4740,143000,677.8,TXSD_UCCS_D3_SCAN70_v1
59571,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59581,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59591,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
59601,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59611,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
59621,4916,57200,281.2,TXSD_UCCS_D3_SCAN70_v1
59631,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59641,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59651,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
59661,4916,56600,278.2,TXSD_UCCS_D3_SCAN70_v1
59671,4584,133500,612.0,TXSD_UCCS_D3_SCAN70_v1
59681,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59691,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
59701,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
59711,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59721,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59731,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59741,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
59751,4912,57100,280.5,TXSD_UCCS_D3_SCAN70_v1
59761,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
59771,4700,84000,394.8,TXSD_UCCS_D3_SCAN70_v1
59781,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
59791,4916,57100,280.7,TXSD_UCCS_D3_SCAN70_v1
59801,4912,55500,272.6,TXSD_UCCS_D3_SCAN70_v1
