ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=4, tag=unk, subject=uccs_d3_scan70
144221,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144231,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144241,4908,56100,275.3,TXSD_UCCS_D3_SCAN70_v1
144251,4732,142800,675.7,TXSD_UCCS_D3_SCAN70_v1
144261,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
144271,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144281,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
144291,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144301,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144311,4912,55700,273.6,TXSD_UCCS_D3_SCAN70_v1
144321,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144331,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144341,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144351,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144361,4908,57200,280.7,TXSD_UCCS_D3_SCAN70_v1
144371,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144381,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144391,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144401,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144411,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144421,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144431,4908,56400,276.8,TXSD_UCCS_D3_SCAN70_v1
144441,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144451,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
144461,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144471,4724,142200,671.8,TXSD_UCCS_D3_SCAN70_v1
144481,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144491,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144501,4908,55800,273.9,TXSD_UCCS_D3_SCAN70_v1
144511,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144521,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144531,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144541,4912,55600,273.1,TXSD_UCCS_D3_SCAN70_v1
144551,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144561,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144571,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144581,4680,219100,1025.4,TXSD_UCCS_D3_SCAN70_v1
144591,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144601,4908,56100,275.3,TXSD_UCCS_D3_SCAN70_v1
144611,4912,57000,280.0,TXSD_UCCS_D3_SCAN70_v1
144621,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
144631,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144641,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
144651,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144661,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144671,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144682,4720,144300,681.1,TXSD_UCCS_D3_SCAN70_v1
144691,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144701,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144711,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144721,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144731,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144741,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144751,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144761,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144771,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144781,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144791,4588,138000,633.1,TXSD_UCCS_D3_SCAN70_v1
144801,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144811,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
144821,4912,56600,278.0,TXSD_UCCS_D3_SCAN70_v1
144831,4908,56800,278.8,TXSD_UCCS_D3_SCAN70_v1
144841,4912,56500,277.5,TXSD_UCCS_D3_SCAN70_v1
144851,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144861,4908,55600,272.9,TXSD_UCCS_D3_SCAN70_v1
144871,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144881,4912,55700,273.6,TXSD_UCCS_D3_SCAN70_v1
144891,4704,72400,340.6,TXSD_UCCS_D3_SCAN70_v1
144901,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144911,4912,57200,281.0,TXSD_UCCS_D3_SCAN70_v1
144921,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144931,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144941,4908,55700,273.4,TXSD_UCCS_D3_SCAN70_v1
144951,4912,57300,281.5,TXSD_UCCS_D3_SCAN70_v1
144961,4908,56300,276.3,TXSD_UCCS_D3_SCAN70_v1
144971,4912,56700,278.5,TXSD_UCCS_D3_SCAN70_v1
144981,4912,56400,277.0,TXSD_UCCS_D3_SCAN70_v1
