ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D3_SCAN70, cond_id=3, tag=s4_policy, subject=uccs_d3_scan70
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard=true
169851,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169861,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169871,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169881,4916,56200,276.3,TXSD_UCCS_D3_SCAN70_v1
169891,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169901,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
169911,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
169921,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
169931,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
169941,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
169951,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169961,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169971,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
169981,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
169991,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170001,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170011,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170021,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170031,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
170041,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170051,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170061,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170071,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170081,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170091,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170101,4912,55900,274.6,TXSD_UCCS_D3_SCAN70_v1
170111,4912,56200,276.1,TXSD_UCCS_D3_SCAN70_v1
170121,4912,56900,279.5,TXSD_UCCS_D3_SCAN70_v1
170131,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170141,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170151,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170161,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170171,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170181,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170191,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170201,4624,92100,425.9,TXSD_UCCS_D3_SCAN70_v1
170211,4912,55400,272.1,TXSD_UCCS_D3_SCAN70_v1
170221,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
170231,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
170241,4916,57000,280.2,TXSD_UCCS_D3_SCAN70_v1
170251,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170261,4916,56400,277.3,TXSD_UCCS_D3_SCAN70_v1
170271,4912,56000,275.1,TXSD_UCCS_D3_SCAN70_v1
170281,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170291,4912,56100,275.6,TXSD_UCCS_D3_SCAN70_v1
170301,4912,56300,276.5,TXSD_UCCS_D3_SCAN70_v1
170311,4916,56900,279.7,TXSD_UCCS_D3_SCAN70_v1
170321,4912,55300,271.6,TXSD_UCCS_D3_SCAN70_v1
